epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98278,0.75933,3.04614,1.0293,1,0.35558,0.99369,0.82398,0.59912,2.59059,0.78688,0.00026,0.00026,0.00026
2,7.36218,0.64776,1.4602,0.88783,1,0.83595,0.995,0.8637,0.58415,2.62052,0.7824,0.000529308,0.000529308,0.000529308
3,10.8421,0.66548,1.38767,0.90645,1,0.75162,0.88133,0.63167,0.80122,2.99162,0.90034,0.000787528,0.000787528,0.000787528
4,13.9649,0.66103,1.11668,0.91104,1,0.40412,0.995,0.79192,0.68112,2.82842,0.91857,0.00103466,0.00103466,0.00103466
5,17.0515,0.65825,1.04799,0.91369,1,0.8336,0.99484,0.84943,0.6084,2.68768,0.94723,0.0012707,0.0012707,0.0012707
6,20.1833,0.63428,1.05266,0.91754,1,0.99309,0.995,0.83056,0.61154,1.93902,0.956,0.00149566,0.00149566,0.00149566
7,23.3081,0.68348,1.03037,0.95387,0.99778,1,0.995,0.83191,0.65876,1.08391,0.98402,0.00170953,0.00170953,0.00170953
8,26.4409,0.66792,0.88745,0.9251,1,0.99931,0.995,0.85858,0.57192,0.97331,0.97632,0.0017228,0.0017228,0.0017228
9,29.5444,0.58374,0.78344,0.91499,0.9992,1,0.995,0.8728,0.57817,0.67149,0.97601,0.0016832,0.0016832,0.0016832
10,32.705,0.62735,0.78186,0.92928,0.99892,1,0.995,0.87029,0.54201,0.64758,0.96891,0.0016436,0.0016436,0.0016436
11,35.7734,0.61068,0.67717,0.92108,0.99855,1,0.995,0.87134,0.53579,0.65343,0.95161,0.001604,0.001604,0.001604
12,38.8404,0.60961,0.70795,0.92563,0.99891,1,0.995,0.86705,0.54578,0.58259,0.96763,0.0015644,0.0015644,0.0015644
13,41.8882,0.59209,0.63463,0.90107,0.99778,1,0.995,0.86168,0.54547,0.5525,0.97008,0.0015248,0.0015248,0.0015248
14,44.9621,0.58495,0.59168,0.91982,0.99718,1,0.995,0.88606,0.50806,0.55782,0.93394,0.0014852,0.0014852,0.0014852
15,48.0181,0.55697,0.56789,0.90985,0.998,1,0.995,0.89831,0.4912,0.50564,0.92511,0.0014456,0.0014456,0.0014456
16,51.0753,0.63829,0.61544,0.921,0.99897,1,0.995,0.88592,0.4832,0.45622,0.91821,0.001406,0.001406,0.001406
17,54.1244,0.51682,0.50812,0.88989,0.99883,1,0.995,0.8907,0.49376,0.46755,0.92625,0.0013664,0.0013664,0.0013664
18,57.2052,0.56869,0.51879,0.89993,0.99898,1,0.995,0.88196,0.50022,0.42958,0.92935,0.0013268,0.0013268,0.0013268
19,60.2539,0.5454,0.49312,0.89009,0.99902,1,0.995,0.8791,0.49171,0.42715,0.91548,0.0012872,0.0012872,0.0012872
20,63.3291,0.52535,0.4994,0.90983,0.9988,1,0.995,0.8664,0.51771,0.50916,0.92991,0.0012476,0.0012476,0.0012476
21,66.3801,0.5324,0.4881,0.91286,0.99862,1,0.995,0.8742,0.5119,0.47654,0.92157,0.001208,0.001208,0.001208
22,69.4605,0.53802,0.44748,0.90063,0.99894,1,0.995,0.87034,0.54573,0.37565,0.93151,0.0011684,0.0011684,0.0011684
23,72.5054,0.51873,0.43386,0.90798,0.99882,1,0.995,0.88959,0.47488,0.34258,0.91037,0.0011288,0.0011288,0.0011288
24,75.5866,0.53819,0.43152,0.90827,0.99899,1,0.995,0.89708,0.45783,0.30476,0.89775,0.0010892,0.0010892,0.0010892
25,78.6449,0.53348,0.45367,0.8809,0.99897,1,0.995,0.89223,0.48047,0.30538,0.91366,0.0010496,0.0010496,0.0010496
26,81.709,0.52341,0.40946,0.8968,0.99901,1,0.995,0.87819,0.50366,0.2898,0.92212,0.00101,0.00101,0.00101
27,84.7545,0.53618,0.41447,0.92422,0.99903,1,0.995,0.89597,0.46927,0.28611,0.90664,0.0009704,0.0009704,0.0009704
