epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36094,0.75933,3.04614,1.0293,1,0.35558,0.99369,0.82398,0.59912,2.59059,0.78688,0.00026,0.00026,0.00026
2,7.69921,0.6493,1.46707,0.88814,1,0.77377,0.995,0.85437,0.58817,2.62372,0.78636,0.000537327,0.000537327,0.000537327
3,10.9096,0.66458,1.37547,0.90695,1,0.49296,0.93703,0.68448,0.78017,2.97137,0.89434,0.000811882,0.000811882,0.000811882
4,14.0607,0.65936,1.10196,0.91813,0.95586,0.36112,0.95419,0.72282,0.6909,2.92808,0.95061,0.00108366,0.00108366,0.00108366
5,17.252,0.67323,1.04766,0.9326,0.80247,0.88024,0.88013,0.74123,0.60252,2.55823,0.96385,0.00135268,0.00135268,0.00135268
6,20.3564,0.6522,1.04678,0.93675,1,0.9929,0.995,0.85987,0.64477,1.56826,1.0225,0.00161892,0.00161892,0.00161892
7,23.4581,0.66078,1.01427,0.94935,0.81203,0.88333,0.93515,0.69576,0.69568,1.81019,1.00091,0.00188238,0.00188238,0.00188238
8,26.5848,0.65878,0.8498,0.92296,0.99866,1,0.995,0.84131,0.64944,0.83396,1.05463,0.0019307,0.0019307,0.0019307
9,29.6679,0.61811,0.76241,0.92988,0.99807,1,0.995,0.86818,0.54564,0.82044,0.9715,0.0019208,0.0019208,0.0019208
10,32.7709,0.62569,0.75722,0.93966,0.99841,1,0.995,0.88037,0.5424,0.65127,0.93938,0.0019109,0.0019109,0.0019109
11,35.8469,0.58431,0.66232,0.91766,0.9983,1,0.995,0.8861,0.52736,0.63153,0.95205,0.001901,0.001901,0.001901
12,38.9287,0.60019,0.67239,0.92734,0.99829,1,0.995,0.86775,0.54844,0.62248,0.97118,0.0018911,0.0018911,0.0018911
13,41.9869,0.60344,0.61847,0.90937,0.99866,1,0.995,0.87393,0.5302,0.58825,0.9583,0.0018812,0.0018812,0.0018812
14,45.0631,0.58907,0.59321,0.91871,0.99731,1,0.995,0.88969,0.51091,0.72775,0.92933,0.0018713,0.0018713,0.0018713
15,48.1126,0.56515,0.5372,0.91358,0.99876,1,0.995,0.88697,0.50957,0.51187,0.93547,0.0018614,0.0018614,0.0018614
16,51.185,0.61041,0.58684,0.92056,0.99896,1,0.995,0.88724,0.51089,0.43983,0.93985,0.0018515,0.0018515,0.0018515
